triad,n_arr,n_bal,n_hier,n_tot,n_trans_bal,n_trans_hier,n_trans_tot,n_cyclic_bal,n_cyclic_hier,n_cyclic_tot,per_bal,per_hier,per_trans_bal,per_trans_hier,per_cyclic_bal,per_cyclic_hier,per_trans_bal_sep,per_cyclic_bal_sep,per_trans_hier_sep,per_cyclic_hier_sep,per_bal_sep,per_hier_sep
030C,"[0, 0, 0, 0, 0, 0, 0, 0, 20, 426, 2309, 4040]",4466,2735,6795,0,0,0,4466,2735,6795,0.6572479764532745,0.4025018395879323,0.0,0.0,0.6572479764532745,0.4025018395879323,NaN,0.6572479764532745,NaN,0.4025018395879323,0.6572479764532745,0.4025018395879323
111U,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
120D,"[656, 2718, 804, 5957, 1529, 5232, 3536, 70680, 0, 0, 0, 0]",35682,39837,45556,35682,39837,91112,0,0,0,0.7832557731144086,0.8744622003687769,0.7832557731144086,0.8744622003687769,0.0,0.0,0.8311857933093336,NaN,0.9337518658354552,NaN,0.8311857933093336,0.9337518658354552
120C,"[120, 318, 252, 1857, 346, 629, 1601, 12544, 62, 812, 4918, 11875]",11919,5310,17667,13460,16786,17667,12687,5730,17667,0.6746476481575819,0.30056036678553233,0.7618724175015565,0.9501330163581819,0.7181185260655459,0.32433350314145015,0.7618724175015565,0.7181185260655459,0.9501330163581819,0.32433350314145015,0.7399954717835513,0.637233259749816
201,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
111D,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
210,"[148, 598, 344, 2666, 782, 2092, 2452, 36743, 31, 413, 2943, 11888]",11150,2018,15275,11150,13025,45825,12301,3356,15275,0.7299509001636661,0.1321112929623568,0.7299509001636661,0.8527004909983633,0.8053027823240589,0.21970540098199673,0.8394326241134752,0.8053027823240589,0.9468412438625204,0.21970540098199673,0.8309001636661211,0.7650572831423895
003,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
012,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
021D,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
030T,"[6394, 12945, 5252, 33371, 25469, 29930, 38474, 310844, 0, 0, 0, 0]",354510,427497,462679,354510,427497,462679,0,0,0,0.7662115635246034,0.9239602402529615,0.7662115635246034,0.9239602402529615,0.0,0.0,0.7662115635246034,NaN,0.9239602402529615,NaN,0.7662115635246034,0.9239602402529615
021U,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
300,"[30, 106, 43, 514, 100, 457, 520, 10944, 9, 46, 574, 3609]",1626,66,2119,1626,1688,12714,1630,123,4238,0.7673430863614913,0.03114676734308636,0.7673430863614913,0.7966021708352997,0.7692307692307693,0.05804624823029731,0.8803680981595092,0.8624351109013686,0.9606732735567092,0.146295422369042,0.8758848513449741,0.7570788107597923
102,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
021C,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
120U,"[1009, 1951, 819, 5918, 7351, 8119, 9251, 82100, 0, 0, 0, 0]",42431,49706,58259,42431,49706,116518,0,0,0,0.7283166549374346,0.8531900650543264,0.7283166549374346,0.8531900650543264,0.0,0.0,0.7914742786522254,NaN,0.9232908220189155,NaN,0.7914742786522254,0.9232908220189155
