school,q,psbt,pst,dev_q,dev_psbt,dev_pst,errrho
t11_10_1,0.9444444444,0.3666666667,0.5833333333,0.04375,0.5,0.125,1.2737970571377375
t11_10_2,0.7,0.925,0.325,0.2625,0.15,0.275,2.3958204997664816
t11_10_3,0.3888888889,0.7777777778,0.5555555556,0.35,0.25,0.525,2.518556505721127
t11_10_4,0.7512254902,0.5588235294,0.6735294118,0.475,0.55,0.575,2.7358714195045613
t11_9_1,0.8,0.9,0.45,0.025,0.05,0.05,0.9241822993039779
t11_9_2,0.9354166667,0.6791666667,0.5375,0.05625,0.45,0.1,1.756734359351378
t11_9_3,0.4,0.8689655172,0.5327586207,0.425,0.25,0.525,1.7927855392921388
t11_9_4,0.835,0.61,0.6,0.08125,0.45,0.175,1.276233603840395
t11_8_1,0.9,0.05,0.75,0.025,0.05,0.05,0.6891888737476979
t11_8_2,0.7284090909,0.6113636364,0.6977272727,0.225,0.45,0.325,1.5448021172693005
t11_8_3,0.825,0.75,0.5,0.05,0.05,0.05,1.03628503679069
t11_8_4,0.275,0.7625,0.5375,0.1,0.1,0.25,1.2274090078224111
t11_7,0.5488095238,0.880952381,0.3428571429,0.3625,0.2,0.525,1.7399623842893028
t11_6,0.8166666667,0.7333333333,0.5333333333,0.075,0.3,0.15,1.0914121773996002
t11_5_1,0.8,1.0,0.4,0.025,0.05,0.05,0.8355545303873885
t11_5_2,0.875,0.825,0.5,0.05,0.075,0.05,1.7233950895608616
t11_5_3,0.3,0.7,0.65,0.2,0.05,0.1,2.2126972742942845
t11_5_4,0.9,0.1,0.65,0.025,0.05,0.05,1.2492324293849295
t11_4_1,0.6142857143,0.6928571429,0.3642857143,0.18125,0.5,0.3,0.8808811580346083
t11_4_2,0.6208333333,0.7666666667,0.4333333333,0.2625,0.175,0.25,2.394481336811881
t11_4_3,0.225,0.725,0.7,0.2625,0.1,0.3,2.754883337775773
t11_4_4,0.52,0.68,0.5266666667,0.475,0.525,0.325,1.954780305473427
t11_3_1,0.6,0.9,0.3,0.1,0.05,0.1,1.807396584675478
t11_3_2,0.7916666667,0.4811111111,0.6055555556,0.44375,0.525,0.425,2.7969231900302116
t11_2_1,0.8,1.0,0.375,0.14375,0.05,0.1375,1.5700784025568801
t11_2_2,0.96171875,0.434375,0.559375,0.05,0.5,0.125,2.5634132570947337
t11_2_3,0.6,0.9,0.3,0.1,0.05,0.075,2.062675347383504
t11_2_4,0.21,0.84,0.33,0.43125,0.15,0.425,1.9621043200569057
t11_1_1,0.7979166667,0.5875,0.5333333333,0.38125,0.475,0.475,1.6894659449320142
t11_1_2,0.6333333333,0.9333333333,0.3,0.28125,0.1,0.2375,1.8243028534092578
t1,0.3,0.85,0.15,0.2,0.1,0.15,1.322678957907363
t2,0.9375,0.25,0.625,0.04375,0.1,0.075,0.873818176225763
t6,0.6875,0.9625,0.3125,0.2625,0.1,0.175,1.2694435016053935
