school,q,psbt,pst,dev_q,dev_psbt,dev_pst,errrho
t11_10_1,0.925,0.05,0.65,0.025,0.05,0.05,0.003283217142077202
t11_10_2,0.95,0.8,0.5,0.025,0.05,0.05,0.050913503808850506
t11_10_3,0.9607142857,0.8,0.5071428571,0.05,0.3,0.075,0.07576818231506233
t11_10_4,0.95,0.5625,0.5375,0.025,0.425,0.1,0.013252718941643071
t11_9_1,0.7636363636,0.1181818182,0.9045454545,0.0625,0.175,0.15,0.008654754907540193
t11_9_2,0.9,0.85,0.5,0.025,0.05,0.05,0.004874049954318134
t11_9_3,0.975,0.8,0.5,0.025,0.05,0.05,0.033285698584315467
t11_9_4,0.9,0.7,0.575,0.025,0.1,0.075,0.0016318038209633008
t11_8_1,0.9,0.05,0.75,0.025,0.05,0.05,0.007915233000176094
t11_8_2,0.7819444444,0.2722222222,0.8388888889,0.09375,0.3,0.25,0.02058829888732594
t11_8_3,0.7875,0.75,0.55,0.0625,0.2,0.15,0.012617538796388189
t11_8_4,0.3,0.85,0.2,0.05,0.05,0.05,0.006783901622589343
t11_7,0.9,0.45,0.6,0.025,0.05,0.05,0.019032019461030246
t11_6,0.745,0.175,0.91,0.05,0.275,0.175,0.004994190199637358
t11_5_1,0.8875,0.7875,0.5125,0.0375,0.175,0.075,0.010951126165750249
t11_5_2,0.9,0.15,0.65,0.025,0.05,0.05,0.002796856940374176
t11_5_3,0.925,0.5625,0.55,0.05625,0.375,0.1,0.03470185361488501
t11_5_4,0.825,0.0,0.8,0.025,0.05,0.05,0.0024069955063549266
t11_4_1,0.6,0.2,0.9125,0.05,0.175,0.175,0.0033491394277215245
t11_4_2,0.725,0.75,0.475,0.025,0.1,0.075,0.0039012428975139526
t11_4_3,0.1926724138,0.6864942529,0.4445402299,0.3125,0.25,0.55,0.044371973886184427
t11_4_4,0.4,0.75,0.4,0.025,0.05,0.05,0.005288136149489789
t11_3_1,0.95,0.9,0.5,0.05,0.1,0.05,0.051832424143462355
t11_3_2,0.8964285714,0.7785714286,0.4857142857,0.05,0.325,0.1,0.0191157340888101
t11_2_1,0.825,0.0,0.9,0.025,0.05,0.05,0.004533068889412435
t11_2_2,0.975,0.625,0.525,0.025,0.375,0.075,0.015504105809470025
t11_2_3,0.9,0.575,0.55,0.025,0.275,0.1,0.012394685929169858
t11_2_4,0.9416666667,0.7,0.55,0.0375,0.475,0.125,0.009567083797658605
t11_1_1,0.7375,0.075,0.975,0.0375,0.125,0.075,0.006411564906506139
t11_1_2,0.95,0.85,0.5,0.025,0.05,0.05,0.014215686700530287
t1,0.95,0.89,0.51,0.025,0.275,0.075,0.01022698314128795
t2,0.9,0.5125,0.6125,0.05,0.325,0.125,0.004509820824301382
t6,0.8555555556,0.4944444444,0.6055555556,0.05,0.3,0.15,0.012084689893363004
