school,q,psbt,pst,dev_q,dev_psbt,dev_pst,errrho
t11_10_1,0.925,0.05,0.65,0.025,0.05,0.05,0.003283217142077202
t11_10_2,0.95,0.8,0.5,0.0375,0.05,0.05,0.04508409841610976
t11_10_3,0.9375,0.45,0.55,0.04375,0.4,0.1,0.04352758597112997
t11_10_4,0.95,0.65,0.525,0.0375,0.2,0.075,0.011651354885196709
t11_9_1,0.775,0.14375,0.8875,0.125,0.175,0.2,0.008552075504636318
t11_9_2,0.9,0.85,0.5,0.0625,0.05,0.05,0.004144093532646534
t11_9_3,0.9375,0.675,0.55,0.04375,0.375,0.1,0.03493143066410892
t11_9_4,0.9,0.7,0.575,0.025,0.1,0.075,0.0016318038209633008
t11_8_1,0.9,0.05,0.75,0.025,0.05,0.05,0.007915233000176094
t11_8_2,0.7909090909,0.2818181818,0.8272727273,0.1,0.275,0.25,0.02058829888732594
t11_8_3,0.7833333333,0.85,0.5166666667,0.125,0.275,0.2,0.013598872841139642
t11_8_4,0.3,0.85,0.2,0.05,0.05,0.05,0.006783901622589343
t11_7,0.9,0.45,0.6,0.0625,0.05,0.05,0.019032019461030246
t11_6,0.745,0.175,0.91,0.05,0.275,0.175,0.004994190199637358
t11_5_1,0.9,0.85,0.5,0.075,0.05,0.05,0.010535586672307928
t11_5_2,0.9,0.15,0.65,0.05,0.05,0.05,0.002743597037797059
t11_5_3,0.925,0.5625,0.55,0.05625,0.375,0.1,0.03470185361488501
t11_5_4,0.8,0.05,0.825,0.0625,0.1,0.075,0.0026351049491517833
t11_4_1,0.6,0.5,0.65,0.05,0.05,0.05,0.0032467788592141834
t11_4_2,0.6785714286,0.3857142857,0.7357142857,0.075,0.275,0.225,0.004436930120084882
t11_4_3,0.1339154412,0.6727941176,0.4882352941,0.3625,0.225,0.55,0.04536265084535462
t11_4_4,0.4,0.75,0.4,0.05,0.05,0.05,0.005288136149489789
t11_3_1,0.925,0.85,0.5,0.025,0.05,0.05,0.051832424143462355
t11_3_2,0.8964285714,0.7785714286,0.4857142857,0.05,0.325,0.1,0.0191157340888101
t11_2_1,0.825,0.0,0.9,0.025,0.05,0.05,0.004533068889412435
t11_2_2,0.95,0.39,0.5633333333,0.0375,0.475,0.1,0.011460635244045073
t11_2_3,0.9,0.575,0.55,0.0625,0.275,0.1,0.012394685929169858
t11_2_4,0.9375,0.55,0.575,0.04375,0.475,0.125,0.009567083797658605
t11_1_1,0.7375,0.075,0.975,0.0375,0.125,0.075,0.006411564906506139
t11_1_2,0.95,0.85,0.5,0.0375,0.05,0.05,0.014215686700530287
t1,0.95,0.89,0.51,0.025,0.275,0.075,0.01022698314128795
t2,0.85,0.175,0.8,0.1125,0.075,0.15,0.0034468170316127684
t6,0.86,0.56,0.58,0.0875,0.275,0.125,0.013290099572613984
