school,q,psbt,pst,dev_q,dev_psbt,dev_pst,err20
t11_10_1,0.925,0.5,0.65,0.025,0.05,0.05,0.00029121734990051126
t11_10_2,0.9375,0.425,0.6,0.0375,0.275,0.1,0.02314080177766448
t11_10_3,0.9375,0.45,0.575,0.0375,0.15,0.075,0.04181489822029447
t11_10_4,0.905,0.29,0.68,0.0375,0.275,0.125,0.00621401569407623
t11_9_1,0.65,0.65,0.85,0.025,0.05,0.05,0.0041383164597114325
t11_9_2,0.825,0.1,0.85,0.025,0.15,0.1,0.0022404710154478036
t11_9_3,0.925,0.25,0.65,0.025,0.05,0.05,0.024878289493466293
t11_9_4,0.9,0.75,0.55,0.025,0.05,0.05,0.0016318038209633008
t11_8_1,0.9375,0.75,0.625,0.04375,0.1,0.075,0.003819485517107698
t11_8_2,0.6,0.85,0.6,0.075,0.05,0.05,0.01085432433824637
t11_8_3,0.6,0.9,0.6,0.05,0.05,0.05,0.00717105850566819
t11_8_4,0.25,0.85,0.75,0.05,0.05,0.05,0.005302646387729011
t11_7,0.825,0.65,0.65,0.025,0.05,0.05,0.004832760469912378
t11_6,0.7875,0.575,0.75,0.0375,0.175,0.1,0.0003008861684849656
t11_5_1,0.8,0.275,0.8,0.08125,0.225,0.2,0.002180747056398362
t11_5_2,0.875,0.4,0.625,0.025,0.3,0.125,0.0024635126810384315
t11_5_3,0.875,0.7,0.55,0.025,0.05,0.05,0.019733789187051293
t11_5_4,0.75,1.0,0.4,0.025,0.05,0.05,0.00016891111258956324
t11_4_1,0.6,0.125,0.875,0.075,0.125,0.175,0.002143307429164118
t11_4_2,0.675,0.825,0.425,0.025,0.225,0.175,0.0029005831556536995
t11_4_3,0.16875,0.7333333333,0.3291666667,0.19375,0.175,0.5,0.038834252474195904
t11_4_4,0.35,0.675,0.7,0.08125,0.125,0.35,0.00528311338222014
t11_3_1,0.975,1.0,0.5,0.025,0.05,0.05,0.040380469697514396
t11_3_2,0.875,0.05,0.7,0.025,0.05,0.05,0.005635434273340327
t11_2_1,0.8,0.45,0.8,0.025,0.05,0.05,0.0001413923993228901
t11_2_2,0.95,0.2,0.6,0.025,0.05,0.05,0.006150631080998719
t11_2_3,0.8,0.15,0.85,0.025,0.05,0.05,0.002829126363990403
t11_2_4,0.925,0.7,0.55,0.025,0.05,0.05,0.006061446232494171
t11_1_1,0.825,0.7,0.7,0.025,0.05,0.05,0.0004495064763622099
t11_1_2,0.875,0.0,0.8,0.025,0.05,0.05,0.001884617265956772
t1,0.95,1.0,0.5,0.025,0.05,0.05,0.01022698314128795
t2,0.875,0.5,0.65,0.05,0.4,0.2,0.0038156119466494073
t6,0.725,0.15,1.0,0.025,0.05,0.05,0.005960613080352232
